Epoch,train_loss,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_f1
1,0.69,0.676,0.655,0.787,0.753,0.655,0.621
2,0.678,0.664,0.673,0.795,0.69,0.673,0.667
3,0.666,0.654,0.655,0.823,0.717,0.655,0.625
4,0.664,0.648,0.673,0.806,0.731,0.673,0.648
5,0.658,0.642,0.655,0.817,0.717,0.655,0.625
6,0.653,0.638,0.727,0.821,0.753,0.727,0.719
7,0.649,0.63,0.655,0.833,0.717,0.655,0.625
8,0.645,0.625,0.673,0.828,0.731,0.673,0.648
9,0.639,0.617,0.673,0.837,0.731,0.673,0.648
10,0.634,0.616,0.764,0.828,0.781,0.764,0.759
11,0.625,0.603,0.655,0.832,0.717,0.655,0.625
12,0.619,0.598,0.764,0.825,0.781,0.764,0.759
13,0.609,0.589,0.673,0.839,0.731,0.673,0.648
14,0.604,0.585,0.745,0.831,0.757,0.745,0.742
15,0.598,0.571,0.691,0.843,0.725,0.691,0.677
16,0.59,0.562,0.745,0.84,0.767,0.745,0.739
17,0.575,0.56,0.727,0.836,0.727,0.727,0.727
18,0.57,0.544,0.745,0.843,0.767,0.745,0.739
19,0.561,0.545,0.782,0.848,0.788,0.782,0.781
20,0.553,0.521,0.727,0.851,0.734,0.727,0.725
